transaction_id,store_id,employee_id,customer_id,plan_id,transaction_date,transaction_type,status,amount
1,12,32,1046,4,2026-06-21,Bill Payment,Completed,55.0
2,7,15,4,5,2025-11-09,New Activation,Completed,74.28
3,18,50,261,1,2026-01-14,Upgrade,Completed,63.22
4,14,36,1857,3,2026-05-25,Bill Payment,Completed,45.0
5,5,12,428,1,2025-07-29,New Activation,Completed,43.05
6,5,12,2579,6,2025-03-28,Bill Payment,Voided,0.0
7,2,3,318,3,2025-04-24,Bill Payment,Completed,45.0
8,8,18,1741,3,2026-04-03,New Activation,Completed,56.61
9,15,40,1024,4,2025-12-23,Bill Payment,Completed,55.0
10,17,47,2152,4,2026-06-14,Plan Change,Completed,8.61
11,11,27,856,5,2025-02-10,Bill Payment,Voided,0.0
12,3,7,1265,2,2025-05-23,Bill Payment,Completed,40.0
13,4,10,1182,3,2025-04-06,Plan Change,Completed,9.22
14,1,1,800,,2025-06-23,Accessory Sale,Completed,93.54
15,1,,378,,2025-09-06,Accessory Sale,Refunded,-48.74
16,8,17,2039,,2025-01-22,Accessory Sale,Completed,116.77
17,8,17,880,1,2026-03-03,Upgrade,Completed,75.38
18,7,15,1146,5,2025-02-04,Bill Payment,Completed,60.0
19,5,12,1524,4,2025-10-07,Bill Payment,Completed,55.0
20,14,38,1458,,2025-08-25,Accessory Sale,Completed,95.54
21,11,29,1356,3,2025-06-19,Bill Payment,Completed,45.0
22,6,13,312,4,2025-02-01,New Activation,Completed,67.49
23,2,4,239,,2025-02-26,Accessory Sale,Completed,146.5
24,7,15,485,6,2025-02-21,New Activation,Completed,75.72
25,7,15,2238,6,2026-06-29,Bill Payment,Voided,0.0
26,17,48,1453,4,2026-06-19,New Activation,Completed,64.44
27,14,36,1249,3,2026-05-27,Plan Change,Completed,7.65
28,7,16,217,2,2025-12-17,Bill Payment,Completed,40.0
29,18,49,120,,2025-08-12,Accessory Sale,Refunded,-113.85
30,11,30,1381,4,2026-01-12,Upgrade,Completed,126.82
31,5,11,2205,5,2026-04-05,Bill Payment,Refunded,-60.0
32,18,50,2235,1,2026-04-11,Bill Payment,Completed,30.0
33,15,42,1166,2,2025-06-30,Bill Payment,Voided,0.0
34,16,43,753,,2025-04-21,Accessory Sale,Completed,125.5
35,10,26,88,1,2025-11-26,Bill Payment,Voided,0.0
36,6,14,2401,6,2025-08-22,Bill Payment,Completed,65.0
37,3,6,2219,1,2025-11-06,Bill Payment,Completed,30.0
38,6,14,745,2,2025-11-26,Bill Payment,Completed,40.0
39,2,3,2344,1,2025-09-15,Bill Payment,Completed,30.0
40,8,18,971,2,2026-05-04,Bill Payment,Completed,40.0
41,15,42,2104,2,2025-06-07,Upgrade,Refunded,-116.92
42,2,5,2490,1,2025-06-05,Bill Payment,Refunded,-30.0
43,11,29,1228,3,2025-07-29,Bill Payment,Completed,45.0
44,18,49,2055,1,2026-01-19,Bill Payment,Completed,30.0
45,9,22,1650,4,2025-04-02,Bill Payment,Refunded,-55.0
46,18,50,1386,6,2025-12-30,Bill Payment,Completed,65.0
47,17,48,700,3,2026-04-06,Upgrade,Completed,85.25
48,2,4,2176,5,2025-12-04,Bill Payment,Completed,60.0
49,1,2,278,4,2025-02-10,Bill Payment,Completed,55.0
50,1,1,1456,1,2025-01-25,Plan Change,Completed,2.89
51,11,27,614,5,2026-02-04,Bill Payment,Completed,60.0
52,5,11,2570,2,2025-07-17,Bill Payment,Voided,0.0
53,11,28,76,2,2025-01-28,New Activation,Completed,46.73
54,6,13,221,5,2025-12-28,Bill Payment,Completed,60.0
55,2,3,1986,3,2026-04-02,New Activation,Completed,52.53
56,8,18,1451,3,2025-06-19,Plan Change,Completed,4.26
57,8,19,384,4,2025-10-13,Bill Payment,Completed,55.0
58,2,3,2004,3,2025-04-05,Bill Payment,Refunded,-45.0
59,6,14,901,4,2026-01-02,Bill Payment,Completed,55.0
60,11,29,1064,5,2025-05-01,Bill Payment,Completed,60.0
61,17,48,1827,3,2025-03-17,Bill Payment,Refunded,-45.0
62,3,8,1924,1,2026-01-16,Bill Payment,Voided,0.0
63,6,13,2276,6,2026-03-01,Bill Payment,Completed,65.0
64,6,13,946,1,2025-09-23,Bill Payment,Completed,30.0
65,7,15,350,2,2026-03-24,New Activation,Completed,47.37
66,6,14,2361,1,2025-08-01,Bill Payment,Completed,30.0
67,17,48,1828,2,2025-01-18,Bill Payment,Completed,40.0
68,4,9,1864,,2025-12-04,Accessory Sale,Completed,68.2
69,5,11,700,5,2026-02-12,Upgrade,Completed,138.89
70,2,,2266,1,2025-09-03,Bill Payment,Refunded,-30.0
71,2,3,1911,3,2026-05-14,Bill Payment,Completed,45.0
72,13,33,1183,,2026-01-06,Accessory Sale,Completed,86.81
73,14,37,2227,5,2026-05-23,Bill Payment,Completed,60.0
74,5,12,857,6,2025-10-21,New Activation,Completed,71.03
75,6,14,1658,3,2025-10-21,Upgrade,Completed,78.73
76,2,5,799,,2025-04-17,Accessory Sale,Refunded,-20.9
77,5,12,1940,3,2025-04-29,Bill Payment,Refunded,-45.0
78,7,15,1010,3,2025-08-20,New Activation,Completed,52.29
79,8,18,1381,5,2025-10-17,Bill Payment,Completed,60.0
80,12,32,1764,3,2025-09-17,Bill Payment,Completed,45.0
81,9,22,1674,2,2025-01-05,Bill Payment,Completed,40.0
82,18,50,394,5,2026-05-18,Bill Payment,Voided,0.0
83,9,22,562,2,2025-01-14,Bill Payment,Completed,40.0
84,10,25,435,2,2026-05-01,Bill Payment,Completed,40.0
85,14,38,1832,5,2026-01-25,Bill Payment,Completed,60.0
86,1,1,400,4,2025-05-07,Bill Payment,Completed,55.0
87,2,4,606,,2025-08-29,Accessory Sale,Completed,118.38
88,17,48,493,1,2026-06-09,New Activation,Completed,41.15
89,6,14,662,5,2025-03-31,Bill Payment,Completed,60.0
90,5,12,2078,,2026-01-16,Accessory Sale,Completed,77.45
91,14,37,2010,2,2025-05-20,Upgrade,Voided,0.0
92,5,12,2445,4,2026-05-07,Bill Payment,Completed,55.0
93,11,30,252,,2025-12-11,Accessory Sale,Completed,57.48
