store_id,store_name,city,state,region,open_date
1,Coraopolis Main St,Coraopolis,PA,Northeast,2023-10-17
2,Pittsburgh Downtown,Pittsburgh,PA,Northeast,2022-04-25
3,Pittsburgh East End,Pittsburgh,PA,Northeast,2022-01-26
4,Robinson Town Center,Pittsburgh,PA,Northeast,2024-01-30
5,Erie Plaza,Erie,PA,Northeast,2022-10-09
6,Harrisburg Square,Harrisburg,PA,Northeast,2022-09-08
7,Buffalo North,Buffalo,NY,Northeast,2022-08-17
8,Rochester Center,Rochester,NY,Northeast,2022-05-23
9,Baltimore West,Baltimore,MD,Mid-Atlantic,2024-01-25
10,Annapolis Plaza,Annapolis,MD,Mid-Atlantic,2022-04-15
11,Richmond Commons,Richmond,VA,Mid-Atlantic,2023-11-24
12,Norfolk Crossing,Norfolk,VA,Mid-Atlantic,2024-01-29
13,Columbus Central,Columbus,OH,Midwest,2023-07-13
14,Cleveland Heights,Cleveland,OH,Midwest,2022-03-31
15,Cincinnati Square,Cincinnati,OH,Midwest,2023-08-28
16,Charleston Mall,Charleston,WV,Midwest,2023-03-09
17,Morgantown Plaza,Morgantown,WV,Midwest,2022-02-02
18,Detroit North,Detroit,MI,Midwest,2022-01-31
